day,slope: CO2 vs. MW,intercept,r_val,p_val,error
0,0.407774558421,11117.7696539,0.97275615019,9.93272852305e-26,0.0157650475222
1,0.449418908838,2240.30164837,0.966742077219,4.17188250542e-24,0.0192872445043
2,0.435946155288,4372.10704811,0.983350797202,9.40111758214e-30,0.013068600095
3,0.435946155288,4372.10704811,0.983350797202,9.40111758214e-30,0.013068600095
4,0.45149337374,1755.53439058,0.960244757843,1.17026908377e-22,0.0212926634509
5,0.471744671508,-2687.39740483,0.966427788388,4.97460790217e-24,0.0203458001089
6,0.418633190962,8733.5364146,0.96807832155,1.93637624646e-24,0.0175830986557
7,0.421385266505,7842.85566,0.963234340601,2.71953190235e-23,0.0190661428156
8,0.448104044014,2609.81519945,0.974581011133,2.70291750099e-26,0.0167103571942
9,0.478895433643,-5231.0017807,0.960534136433,1.02116723579e-22,0.0224974918512
10,0.48641376091,-7591.23051761,0.983209522837,1.10248627546e-29,0.0146448118717
11,0.478536116176,-6213.84710272,0.985648260155,5.70797525814e-31,0.01329549157
12,0.479886333355,-5915.46480525,0.984492911753,2.46065716151e-30,0.0138715149776
13,0.441129883163,3551.27639019,0.982283293206,3.03379301049e-29,0.0136525030511
14,0.427544719959,7228.04686311,0.973207623228,7.25902581712e-26,0.0163861248761
15,0.482433013433,-6940.32381635,0.988510680146,8.54238679423e-33,0.0119667158594
16,0.462985900111,-342.104697078,0.975330098895,1.54106140975e-26,0.016999176568
17,0.468852852831,-1637.61968073,0.982730791657,1.8730963409e-29,0.0143211630993
18,0.470466497493,-2326.38278387,0.982734180621,1.86617909907e-29,0.0143690046647
19,0.468335574991,-3951.89144774,0.985504984724,6.88517393938e-31,0.0130783017729
20,0.431817679263,5755.37166968,0.957600489244,3.88725268952e-22,0.0210749579394
21,0.461757526127,-324.828447745,0.955986464651,7.79493322296e-22,0.0229903980574
22,0.480807154238,-6547.31452362,0.989406873063,1.83988657075e-33,0.0114440064835
23,0.479945274947,-6340.21861389,0.989245990239,2.44663673384e-33,0.0115113188183
24,0.490079086357,-8322.82266144,0.969737887667,7.12356255542e-25,0.0200158411862
25,0.434513374898,6139.45425044,0.966489235496,4.80699694308e-24,0.0187220018634
26,0.428761739542,6011.19100762,0.976249768476,7.54711908582e-27,0.0154354082955
27,0.434845879036,4656.69033776,0.977059103155,3.93302768521e-27,0.0153758009212
28,0.422450717913,8213.83736168,0.970400398668,4.70475518052e-25,0.0170550682668
29,0.462876092017,-955.52697773,0.972898340429,9.00375990458e-26,0.0178466121455
30,0.471200074781,-3421.64154528,0.963771784937,2.06542969165e-23,0.0211547706387
